County,Year,Age (<4YO),Gender (M),White,African,Asian,Hispanic,Other,Rate (per 10k),Rate predict
Sonoma,2014,1,1,1,0,0,0,0,121.4,110.4232
Sonoma,2014,0,0,1,0,0,0,0,37.96,38.2748777778
Sonoma,2014,0,1,1,0,0,0,0,39.24,49.9779111111
Stanislaus,2014,1,0,0,1,0,0,0,350.0,357.433666667
Stanislaus,2014,1,1,0,1,0,0,0,714.29,462.167833333
Stanislaus,2014,0,0,0,1,0,0,0,392.71,264.904711111
Stanislaus,2014,0,1,0,1,0,0,0,463.98,388.350655556
Stanislaus,2014,1,0,0,0,0,1,0,65.28,66.7209333333
Stanislaus,2014,1,1,0,0,0,1,0,123.07,117.926433333
Stanislaus,2014,0,0,0,0,0,1,0,57.17,62.9961666667
Stanislaus,2014,0,1,0,0,0,1,0,104.96,93.6498777778
Stanislaus,2014,0,0,0,0,0,0,1,78.9,158.834577778
Stanislaus,2014,0,1,0,0,0,0,1,127.57,118.882722222
Stanislaus,2014,1,0,1,0,0,0,0,63.66,66.7209333333
Stanislaus,2014,1,1,1,0,0,0,0,155.04,117.926433333
Stanislaus,2014,0,0,1,0,0,0,0,73.85,62.9961666667
Stanislaus,2014,0,1,1,0,0,0,0,101.19,93.6498777778
Sutter,2014,1,1,0,0,0,1,0,93.19,84.002
Sutter,2014,0,0,0,0,0,1,0,54.13,47.7184666667
Sutter,2014,0,1,0,0,0,1,0,66.28,58.2257666667
Sutter,2014,0,1,1,0,0,0,0,62.87,58.2257666667
Tehama,2014,1,1,0,0,0,1,0,209.21,195.613244444
Tehama,2014,1,1,1,0,0,0,0,149.78,195.613244444
Tehama,2014,0,0,1,0,0,0,0,63.72,58.3578571429
Tehama,2014,0,1,1,0,0,0,0,81.28,78.5097777778
Tulare,2014,0,1,0,1,0,0,0,244.7,265.746444444
Tulare,2014,1,0,0,0,0,1,0,59.27,52.8286507937
Tulare,2014,1,1,0,0,0,1,0,119.29,101.716511111
Tulare,2014,0,0,0,0,0,1,0,34.45,34.0839333333
Tulare,2014,0,1,0,0,0,1,0,69.51,64.7961111111
Tulare,2014,1,0,0,0,0,0,1,568.93,609.028722222
Tulare,2014,1,1,0,0,0,0,1,1264.37,1248.6595
Tulare,2014,0,0,0,0,0,0,1,556.33,516.708
Tulare,2014,0,1,0,0,0,0,1,907.19,805.443166667
Tulare,2014,1,1,1,0,0,0,0,82.77,101.716511111
Tulare,2014,0,0,1,0,0,0,0,30.47,34.0839333333
Tulare,2014,0,1,1,0,0,0,0,53.11,64.7961111111
Tuolumne,2014,0,0,1,0,0,0,0,109.45,80.8239444444
Tuolumne,2014,0,1,1,0,0,0,0,60.21,80.0541111111
Ventura,2014,1,1,0,1,0,0,0,402.68,463.158666667
Ventura,2014,0,0,0,1,0,0,0,330.3,253.643533333
Ventura,2014,0,1,0,1,0,0,0,145.75,204.743733333
Ventura,2014,0,1,0,0,1,0,0,36.43,48.674
Ventura,2014,1,0,0,0,0,1,0,59.55,60.0634444444
Ventura,2014,1,1,0,0,0,1,0,93.14,90.9235555556
Ventura,2014,0,0,0,0,0,1,0,45.65,40.1323555556
Ventura,2014,0,1,0,0,0,1,0,77.57,48.674
Ventura,2014,0,0,0,0,0,0,1,39.18,43.3237555556
Ventura,2014,0,1,0,0,0,0,1,54.07,66.0266666667
Ventura,2014,1,0,1,0,0,0,0,65.56,60.0634444444
Ventura,2014,1,1,1,0,0,0,0,86.05,90.9235555556
Ventura,2014,0,0,1,0,0,0,0,44.71,40.1323555556
Ventura,2014,0,1,1,0,0,0,0,44.77,48.674
Yolo,2014,1,0,0,0,0,1,0,83.26,59.5878
Yolo,2014,1,1,0,0,0,1,0,123.36,94.7473111111
Yolo,2014,0,0,0,0,0,1,0,60.11,35.8615777778
Yolo,2014,0,1,0,0,0,1,0,61.19,53.8192
Yolo,2014,1,1,1,0,0,0,0,51.3,94.7473111111
Yolo,2014,0,0,1,0,0,0,0,40.9,35.8615777778
Yolo,2014,0,1,1,0,0,0,0,57.1,53.8192
