County,Year,Number,Rate (per 10k)
Santa Cruz,2006,57.0,1511.94
Santa Cruz,2006,43.0,518.14
Santa Cruz,2006,50.0,577.19
Santa Cruz,2006,16.0,53.26
Santa Cruz,2006,29.0,87.4
Santa Cruz,2006,26.0,24.87
Santa Cruz,2006,24.0,23.44
Santa Cruz,2007,18.0,43.73
Santa Cruz,2007,17.0,18.46
Santa Cruz,2007,17.0,17.78
Santa Cruz,2007,44.0,1192.41
Santa Cruz,2007,69.0,1815.79
Santa Cruz,2007,38.0,439.99
Santa Cruz,2007,62.0,690.67
Santa Cruz,2007,16.0,49.69
Santa Cruz,2007,26.0,24.83
Santa Cruz,2007,26.0,27.68
Santa Cruz,2008,39.0,95.71
Santa Cruz,2008,74.0,175.94
Santa Cruz,2008,40.0,42.52
Santa Cruz,2008,84.0,87.8
Santa Cruz,2008,14.0,48.18
Santa Cruz,2008,26.0,81.71
Santa Cruz,2008,36.0,38.38
Santa Cruz,2008,30.0,32.31
Santa Cruz,2009,30.0,73.64
Santa Cruz,2009,71.0,167.18
Santa Cruz,2009,69.0,73.87
Santa Cruz,2009,86.0,89.7
Santa Cruz,2009,12.0,42.89
Santa Cruz,2009,27.0,89.58
Santa Cruz,2009,23.0,27.71
Santa Cruz,2009,36.0,40.68
Santa Cruz,2010,44.0,110.58
Santa Cruz,2010,101.0,239.62
Santa Cruz,2010,57.0,59.03
Santa Cruz,2010,77.0,78.14
Santa Cruz,2010,13.0,46.78
Santa Cruz,2010,15.0,51.14
Santa Cruz,2010,33.0,37.97
Santa Cruz,2010,33.0,35.99
Santa Cruz,2011,50.0,122.43
Santa Cruz,2011,73.0,166.1
Santa Cruz,2011,51.0,51.41
Santa Cruz,2011,83.0,81.67
Santa Cruz,2011,13.0,47.03
Santa Cruz,2011,15.0,50.71
Santa Cruz,2011,21.0,26.25
Santa Cruz,2011,39.0,45.25
Santa Cruz,2012,45.0,108.54
Santa Cruz,2012,85.0,191.05
Santa Cruz,2012,59.0,58.76
Santa Cruz,2012,85.0,81.24
Santa Cruz,2012,17.0,61.95
Santa Cruz,2012,34.0,114.86
Santa Cruz,2012,40.0,50.44
Santa Cruz,2012,38.0,44.4
Santa Cruz,2013,61.0,145.93
Santa Cruz,2013,69.0,152.25
Santa Cruz,2013,62.0,62.2
Santa Cruz,2013,88.0,82.67
Santa Cruz,2013,23.0,76.95
Santa Cruz,2013,29.0,37.4
Santa Cruz,2013,33.0,39.12
Santa Cruz,2014,45.0,106.08
Santa Cruz,2014,70.0,150.31
Santa Cruz,2014,63.0,62.22
Santa Cruz,2014,105.0,99.77
Santa Cruz,2014,27.0,89.17
Santa Cruz,2014,20.0,26.68
Santa Cruz,2014,25.0,30.44
Shasta,2005,28.0,76.11
Shasta,2005,76.0,193.53
Shasta,2005,51.0,42.49
Shasta,2005,100.0,83.03
Shasta,2006,27.0,73.01
Shasta,2006,64.0,163.64
Shasta,2006,42.0,36.89
Shasta,2006,83.0,67.96
Shasta,2007,21.0,56.65
Shasta,2007,58.0,150.38
Shasta,2007,38.0,32.15
Shasta,2007,70.0,58.27
Shasta,2008,35.0,94.14
Shasta,2008,90.0,237.53
Shasta,2008,62.0,54.7
Shasta,2008,79.0,66.78
Shasta,2009,15.0,72.7
Shasta,2009,31.0,86.91
Shasta,2009,90.0,241.09
Shasta,2009,60.0,54.59
Shasta,2009,86.0,76.17
Shasta,2010,40.0,113.67
Shasta,2010,91.0,243.64
Shasta,2010,47.0,46.11
Shasta,2010,98.0,92.05
Shasta,2011,25.0,70.3
Shasta,2011,58.0,152.95
Shasta,2011,47.0,46.5
Shasta,2011,103.0,101.46
Shasta,2012,19.0,53.4
Shasta,2012,48.0,124.19
Shasta,2012,72.0,73.4
Shasta,2012,82.0,82.28
Shasta,2013,19.0,77.33
Shasta,2013,25.0,70.05
Shasta,2013,56.0,141.56
Shasta,2013,59.0,61.27
Shasta,2013,69.0,70.12
Shasta,2014,13.0,53.24
Shasta,2014,28.0,76.69
Shasta,2014,50.0,124.53
Shasta,2014,68.0,72.16
Shasta,2014,89.0,90.26
Siskiyou,2005,13.0,47.97
Siskiyou,2006,15.0,193.3
Siskiyou,2006,14.0,53.89
Siskiyou,2007,15.0,60.3
Siskiyou,2008,14.0,52.43
Siskiyou,2011,16.0,71.04
Siskiyou,2014,15.0,68.43
Solano,2005,37.0,202.74
Solano,2005,56.0,311.11
Solano,2005,82.0,132.24
Solano,2005,110.0,176.89
Solano,2005,12.0,78.53
Solano,2005,22.0,136.56
Solano,2005,15.0,30.43
Solano,2005,20.0,43.28
Solano,2005,51.0,105.22
Solano,2005,41.0,37.14
Solano,2005,62.0,54.0
Solano,2005,13.0,85.58
Solano,2005,16.0,101.14
Solano,2005,24.0,75.95
Solano,2005,42.0,128.97
Solano,2005,31.0,72.4
Solano,2005,72.0,160.64
Solano,2005,61.0,44.51
Solano,2005,89.0,63.5
Solano,2006,34.0,194.29
Solano,2006,56.0,316.03
Solano,2006,101.0,166.08
Solano,2006,102.0,166.15
Solano,2006,23.0,144.29
Solano,2006,24.0,47.91
Solano,2006,17.0,36.31
Solano,2006,50.0,100.52
Solano,2006,38.0,34.02
Solano,2006,53.0,45.92
