STATION,NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM,2015,1361,,,25,,,1.91,107,1847,7.86,,63.0,77.1,49.0
USC00044232,INDEPENDENCE,2015,2321,,,15,,,0.42,111,2236,2.76,,64.5,80.1,49.0
USR0000CHIG,HIGH SIERRA CALIFORNIA,2015,128,,,2,,,,89,5572,,,48.7,62.0,35.3
USC00047741,SAN DIEGO SEAWORLD,2015,800,,,38,,,1.06,88,,6.79,,64.2,69.6,58.7
USR0000CWEE,WEED AIRPORT CALIFORNIA,2015,929,,,14,,,,105,4032,,,55.7,68.6,42.8
USC00048606,STRAWBERRY VALLEY,2015,457,,,19,,,5.10,97,3969,42.75,,54.6,68.1,41.1
USW00053150,YOSEMITE VILLAGE 12 W,2015,347,,,15,,,2.69,85,4686,29.64,,51.8,58.8,44.7
USW00053151,FALLBROOK 5 NE,2015,1853,,,33,,,1.00,105,798,7.55,,67.5,79.2,55.7
USW00053152,SANTA BARBARA 11 W,2015,483,,,30,,,0.78,91,1671,4.07,,61.2,70.8,51.7
USC00044484,KELSEY 1 N,2015,,0,0,,0,0.0,2.64,,,21.92,0.0,,,
USC00043157,FORT BIDWELL,2015,566,32,11,-2,17,5.0,0.63,98,4862,12.41,27.1,52.0,64.5,39.5
USC00046663,PALOS VERDES ES FC43D,2015,,,,,,,0.88,,,6.54,,,,
USR0000CWES,WESTWOOD CALIFORNIA,2015,470,,,9,,,,91,5186,,,51.0,60.5,41.5
USC00044259,INDIO FIRE STATION,2015,5023,,,31,,,0.23,115,394,1.11,,77.3,88.6,66.0
USC00047767,SAN FRANCISCO OCEANSIDE,2015,,,,,,,0.95,,,7.50,,,,
USR0000CHGL,HIGH GLADE LOOKOUT CALIFORNIA,2015,844,,,20,,,,92,3569,,,56.8,65.3,48.4
USR0000CLOP,LOS PRIETOS CALIFORNIA,2015,1551,,,26,,,,109,1231,,,65.1,81.2,49.0
USC00043161,FORT BRAGG 5 N,2015,,,,,,,4.72,,,33.72,,,,
USC00045100,LORAINE 5 NNE,2015,870,,,15,,,1.25,98,3205,9.41,,57.6,71.7,43.6
USC00046675,PANOCHE 2 W,2015,,,,,,,1.26,,,5.39,,,,
USR0000CFAW,FAWNSKIN CALIFORNIA,2015,55,,,1,,,,88,5455,,,49.1,64.1,34.0
USC00042090,COVINA CITY YARD FC387B,2015,,,,,,,0.67,,,6.19,,,,
USC00045360,MARKLEY COVE,2015,1296,0,0,27,0,0.0,2.42,108,1966,12.02,0.0,62.6,77.8,47.4
USR0000CFAN,FANCHER CREEK CALIFORNIA,2015,2760,,,31,,,,108,1375,,,67.8,78.1,57.5
USR0000CHER,HERNANDEZ CALIFORNIA,2015,1316,,,28,,,,97,2515,,,60.8,69.5,52.2
USC00045118,LOS BANOS,2015,1946,,,26,,,0.79,105,1709,5.16,,64.8,77.8,51.9
USC00045119,LOS BANOS ARBURUA RANCH,2015,,,,,,,1.69,,,6.02,,,,
US1CASJ0004,STOCKTON 5.8 NNE,2015,,,,,,,0.75,,,8.55,,,,
USC00047779,SAN GABRIEL DAM FC425B E,2015,,,,,,,1.18,,,11.02,,,,
US1CASJ0005,LODI 1.0 NNW,2015,,,,,,,1.07,,,8.68,,,,
US1CASJ0006,STOCKTON 3.3 SE,2015,,,,,,,0.76,,,8.05,,,,
