STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
USW00023188,SAN DIEGO INTERNATIONAL AIRPORT,32.7336,-117.1831,4.6,2007,704,,,35,,,0.93,91,1340,4.38,,62.9,68.6,57.2
USW00023187,SANDBERG,34.7436,-118.7242,1374.6,2007,1107,,,14,,,0.75,102,3564,4.76,,57.7,67.2,48.2
USW00023182,PALMDALE AIRPORT,34.62944,-118.08361,769.2,2007,2023,0,,10,0,,0.73,113,2645,1.70,,63.2,78.6,47.9
USC00049073,TURLOCK NUMBER 2,37.5005,-120.855,35.1,2007,,,,,,,,,2097,,,,,
USW00093134,LOS ANGELES DOWNTOWN USC,34.0236,-118.2911,54.6,2007,1215,,,36,,,0.89,101,803,5.67,,65.6,75.0,56.2
USC00042319,DEATH VALLEY,36.4622,-116.8669,-59.1,2007,6269,0,0,24,0,0.0,0.63,129,1027,1.51,0.0,79.2,93.1,65.3
USR0000CSHH,SCHOOL HOUSE CALIFORNIA,41.1383,-123.9056,804.7,2007,217,,,24,,,,89,,,,51.2,58.2,44.1
USR0000CWPK,WHITAKER PEAK CALIFORNIA,34.5686,-118.7403,1255.8,2007,1458,,,18,,,,104,2847,,,60.7,69.8,51.5
USW00003131,SAN DIEGO MONTGOMERY FIELD,32.81583,-117.13944,127.1,2007,877,,,30,,,1.59,104,1494,7.41,,63.0,71.7,54.2
USW00004222,REDDING 12 WNW,40.6507,-122.6068,432.2,2007,1364,,,20,,,3.27,111,3066,25.35,,60.2,73.0,47.4
USC00045941,MOUNT HEBRON RNG STATION,41.7836,-122.0447,1295.4,2007,,,1,,,5.0,,,,,15.9,,,
USC00043402,GIBRALTAR DAM NUMBER 2,34.5225,-119.6822,474.9,2007,,0,0,,0,0.0,3.49,,,12.44,0.0,,,
USR0000CFOR,FORESTHILL CALIFORNIA,39.0914,-120.7317,1327.4,2007,864,,,15,,,,101,3750,,,56.6,66.9,46.3
USR0000COAB,OAK BOTTOM CALIFORNIA,40.6506,-122.6056,404.2,2007,1702,,,21,,,,116,2798,,,62.0,76.1,47.8
USR0000CBGR,BANGOR CALIFORNIA,39.3975,-121.3861,244.8,2007,1345,,,23,,,,105,2557,,,61.5,73.5,49.4
USC00040379,AUBERRY 2 NW,37.0919,-119.5128,637.0,2007,1718,0,1,22,0,1.0,1.41,107,2884,12.48,1.5,61.4,72.8,50.0
USC00040136,ALPINE,32.8358,-116.7774,516.6,2007,,0,0,,0,0.0,,,,,0.0,,,
USC00040014,ACTON ESCONDIDO CANYON,34.4938,-118.2713,863.5,2007,,0,0,,0,0.0,1.05,,,5.80,0.0,,,
