Station Name,COOP ID,Lat.,Lon.,Elev. (f)
COVELO EEL RIVER RS,042084,39.82611,-123.085,1517
COVINA,042088,34.06667,-117.86667,600
COVINA CITY YRD FC387B,042090,34.09194,-117.88056,607
COW CREEK,042092,36.53333,-116.88333,-151
COYOTE CANYON,042103,33.43333,-116.5,2280
COYOTE WELLS,042111,32.73333,-115.96667,249
CRAWFORD RCH,042139,32.88333,-116.28333,1503
CRESCENT CITY,042147,41.79583,-124.21472,43
CRESCENT CITY 7 ENE,042148,41.79417,-124.085,120
CRESCENT CITY MCNAMARA AP,042149,41.78028,-124.23667,56
CRESCENT CITY MNTC S,042150,41.76667,-124.2,49
CRESTLINE,042162,34.25,-117.3,4872
CROCKER STN,042173,37.8,-119.9,4705
CROCKETT,042177,38.03333,-122.21667,10
CRYSTAL LAKE E PINE FLAT,042199,34.33333,-117.83333,5774
CRYSTAL LAKE FC238C,042198,34.3175,-117.84194,5345
CULVER CITY,042214,34.00472,-118.415,92
CUMMINGS,042218,39.83333,-123.63333,1289
CUNNINGHAM,042224,38.95,-122.86667,1421
CUYAMA,042236,34.93333,-119.61667,2260
CUYAMA RCH,042248,34.98333,-119.66667,2172
CUYAMACA,042239,32.98972,-116.58722,4640
DANA 2 SE,042269,41.1,-121.51667,3323
DAVENPORT,042290,37.01667,-122.2,279
DAVIS 2 WSW EXP FARM,042294,38.535,-121.77611,60
DAVIS CREEK,042296,41.73333,-120.36667,4754
DAY,042306,41.21222,-121.37417,3650
DE SABLA,042402,39.87167,-121.61083,2710
DEATH VALLEY,042319,36.46222,-116.86694,-194
DEEP CANYON LAB,042327,33.65139,-116.37639,1200
DEEP SPRINGS 11 NW,042330,37.43333,-118.16667,10509
DEEP SPRINGS COLLEGE,042331,37.37389,-117.98028,5225
DEER CREEK FOREBAY,042338,39.3,-120.83333,4455
DEER CREEK PH,042334,39.3,-120.85,3704
DEL MONTE,042362,36.6,-121.86667,45
DEL PUERTO ROAD CAMP,042369,37.41667,-121.38333,1201
DELANO,042346,35.76833,-119.26,302
DELTA,042379,40.95,-122.41667,1171
DELTA (1),042380,40.95,-122.43333,1320
DENAIR 3 NNE,042389,37.56667,-120.78333,141
DESCANSO RS,042406,32.85,-116.61667,3500
DESERT CTR 2 NNE,042410,33.73778,-115.3925,747
DESERT RESORTS RGNL AP,048892,33.62667,-116.15944,-112
DIAMOND BAR,042432,34,-117.8,880
DOBBINS 1 S,042456,39.3575,-121.20111,1640
DOBBINS COLGATE FORE,042458,39.33333,-121.2,1552
DONNELLS DAM,042465,38.33333,-119.96667,4843
DONNER MEM SP,042467,39.32389,-120.23306,5937
DONNER SUMMIT,042470,39.31667,-120.33333,7198
DOS RIOS,042490,39.71667,-123.35,932
DOWNEY FIRE STN FC107C,042494,33.92972,-118.14556,110
DOWNIEVILLE,042500,39.56333,-120.82389,2915
DOYLE,042504,40.02444,-120.10444,4240
DOYLE 4 SSE,042506,39.97167,-120.08278,4390
