County,Year,Total number of acres burned
San Bernardino,2011,1992
San Diego,2011,17439
San Francisco,2011,0
San Joaquin,2011,339
San Luis Obispo,2011,2391
San Mateo,2011,6
Santa Barbara,2011,0
Santa Clara,2011,113
Santa Cruz,2011,20
Shasta,2011,347
Sierra,2011,14
Siskiyou,2011,104
Solano,2011,749
Sonoma,2011,69
Stanislaus,2011,2210
Sutter,2011,357
Tehama,2011,325
Trinity,2011,70
Tulare,2011,3454
Tuolumne,2011,335
Ventura,2011,0
Yolo,2011,207
Yuba,2011,852
Alameda,2010,850
Alpine,2010,0
Amador,2010,42
Butte,2010,190
Calaveras,2010,229
Colusa,2010,7
Contra Costa,2010,409
Del Norte,2010,22
El Dorado,2010,133
Fresno,2010,360
Glenn,2010,8
Humboldt,2010,250
Imperial,2010,0
Inyo,2010,3
Kern,2010,0
Kings,2010,0
Lake,2010,506
Lassen,2010,332
Los Angeles,2010,0
Madera,2010,156
Marin,2010,0
Mariposa,2010,175
Mendocino,2010,235
Merced,2010,3059
Modoc,2010,86
Mono,2010,0
Monterey,2010,403
Napa,2010,171
Nevada,2010,55
Orange,2010,0
Placer,2010,289
Plumas,2010,1
Riverside,2010,4547
Sacramento,2010,213
San Benito,2010,156
San Bernardino,2010,321
San Diego,2010,3594
San Francisco,2010,0
San Joaquin,2010,241
San Luis Obispo,2010,2018
San Mateo,2010,11
Santa Barbara,2010,0
Santa Clara,2010,68
Santa Cruz,2010,23
Shasta,2010,413
Sierra,2010,4
Siskiyou,2010,62
Solano,2010,68
Sonoma,2010,234
Stanislaus,2010,790
Sutter,2010,0
Tehama,2010,240
Trinity,2010,16
Tulare,2010,2519
Tuolumne,2010,298
Ventura,2010,0
Yolo,2010,39
Yuba,2010,1588
Alameda,2009,545
Alpine,2009,0
Amador,2009,80
Butte,2009,144
Calaveras,2009,673
Colusa,2009,15
Contra Costa,2009,348
Del Norte,2009,312
El Dorado,2009,132
Fresno,2009,267
Glenn,2009,3
Humboldt,2009,735
Imperial,2009,0
Inyo,2009,1012
Kern,2009,0
Kings,2009,0
Lake,2009,1560
Lassen,2009,1148
Los Angeles,2009,0
Madera,2009,510
Marin,2009,0
Mariposa,2009,159
Mendocino,2009,321
Merced,2009,73
Modoc,2009,203
Mono,2009,0
Monterey,2009,9939
Napa,2009,204
Nevada,2009,78
